Citta_di_Torino 61,01 66,47 66,64 66,07 65,52 57,99 61,87 stabile
TO3 75,77 72,24 73,12 72,54 73,55 69,17 53,48 decrescente
TO4 64,88 71,67 70,29 71,42 76,69 77,09 65,86 stabile
TO5 61,96 68,79 69,11 66,93 68,82 71,64 73,44 crescente
Vercelli 71,85 82,97 77,57 76,75 78,11 79,49 78,79 stabile
Biella 72,01 70,13 71,96 74,69 70,51 72,63 72,35 stabile
Novara 79,78 80,40 81,74 83,31 78,04 83,80 71,91 stabile
VCO 81,82 81,79 80,56 84,03 79,60 79,75 81,64 stabile
CN1 68,94 73,00 75,31 75,95 74,37 77,08 77,12 crescente
CN2 72,77 75,52 75,81 73,25 1,88 72,00 59,98 stabile
Asti 79,89 81,85 78,38 81,99 84,38 85,17 84,31 crescente
Alessandria 72,65 76,95 77,40 78,68 79,26 78,32 79,41 crescente
